id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo
38,DENSCHND,3,0,0,user,40.54171284134058,0.0009639263153076172,26,89.69867218854257,0.0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
39,DENSCHNE,3,0,0,first_order,2.676124291474902e-11,0.010406017303466797,122,1.0346206436894479e-5,0.0,197,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
40,DENSCHNF,2,0,0,first_order,1.100156477576013e-9,0.0007898807525634766,18,0.000569489937779422,0.0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
41,DEVGLA1,4,0,0,max_eval,3920.8061318288287,0.06546998023986816,553,451.31435168308474,0.0,1002,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
42,DEVGLA2,5,0,0,user,39643.06388908841,0.08026289939880371,123,72183.38088363915,0.0,226,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
43,DIAMON2DLS,66,0,0,max_time,9421.272194891566,10.011178970336914,189,315.9669549648522,0.0,332,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
44,DIAMON3DLS,99,0,0,max_time,8307.114706424136,10.07223391532898,144,657.7367097325777,0.0,254,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
45,DJTL,2,0,0,user,-8914.942819030228,0.004851818084716797,132,2120.000388568958,0.0,210,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
46,DMN15102LS,66,0,0,max_time,9426.469178252728,10.02842903137207,180,175.57397873830806,0.0,318,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
47,DMN15103LS,99,0,0,max_time,8303.480010460004,10.098910093307495,149,453.62140537487966,0.0,262,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
48,DMN15332LS,66,0,0,first_order,1336.7042429945593,5.733978033065796,109,10.336774207839108,0.0,190,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
49,DMN15333LS,99,0,0,max_time,1141.917351821289,10.043147087097168,135,91.20393976188792,0.0,242,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
50,DMN37142LS,66,0,0,max_time,271.13311141789467,10.05148196220398,183,26.140630946474424,0.0,325,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
51,DMN37143LS,99,0,0,user,351.1333208563287,1.6023340225219727,24,77.42488888893958,0.0,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
52,ECKERLE4LS,3,0,0,first_order,0.699696093119194,9.489059448242188e-5,3,1.6267123717805244e-7,0.0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
53,EG2,1000,0,0,first_order,-998.947393300951,0.07149195671081543,3,2.663862331892184e-6,0.0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
54,EGGCRATE,2,0,0,first_order,9.48819733910626,0.0006310939788818359,12,4.365927477009766e-7,0.0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
55,ELATVIDU,2,0,0,first_order,54.75111870494287,0.0007860660552978516,22,0.0036743741622523433,0.0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
56,ENGVAL2,3,0,0,first_order,2.5054794090461914e-7,0.005237102508544922,137,0.0004400245880957168,0.0,248,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
57,ENSOLS,9,0,0,first_order,788.5397866682597,0.10045480728149414,104,0.00035393520892357396,0.0,173,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
58,ERRINROS,50,0,0,first_order,40.58160929828618,0.10724210739135742,387,0.11160321721345476,0.0,663,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
59,ERRINRSM,50,0,0,first_order,38.745065445306395,0.11435389518737793,212,0.12340781078507931,0.0,376,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
60,EXP2,2,0,0,first_order,2.2658620642245094e-12,0.0008690357208251953,18,2.3388093599628026e-6,0.0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
61,EXPFIT,2,0,0,first_order,0.2405105939990697,0.0017008781433105469,36,3.049549523981946e-6,0.0,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
62,EXTROSNB,1000,0,0,max_time,0.022499246785186357,10.000011920928955,359,0.13833605894156004,0.0,625,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
63,FBRAIN3LS,6,0,0,user,0.3780210204995907,1.7285990715026855,140,0.18073854955241836,0.0,258,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
64,FLETCHCR,1000,0,0,user,988.5564964463468,0.2992668151855469,14,3.272731860919519,0.0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
65,GAUSS1LS,8,0,0,user,5328.817520027501,0.016896963119506836,36,5760.243192038924,0.0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
66,GAUSS2LS,8,0,0,user,9158.139582026257,1.1920928955078125e-6,0,959085.9061383605,0.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
67,GAUSS3LS,8,0,0,user,17851.272467324554,0.024667978286743164,39,135691.6223565305,0.0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
68,GAUSSIAN,3,0,0,first_order,1.1279327752182386e-8,0.00013899803161621094,3,1.8244760845699057e-8,0.0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
69,GBRAINLS,2,0,0,first_order,28.515858189404668,0.05793285369873047,28,0.0006148354452104876,0.0,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
70,GENROSE,500,0,0,max_eval,287.1556437369636,5.826936960220337,571,9.52313331248928,0.0,1002,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
71,GROWTHLS,3,0,0,first_order,12.452394249868856,0.0024042129516601562,50,0.26938711151091815,0.0,92,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
72,GULF,3,0,0,user,4.984262565968341,0.009252071380615234,41,2.7035655665381877,0.0,79,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
73,HAHN1LS,7,0,0,user,44444.96650809411,0.011658191680908203,33,5.747649110055519e8,0.0,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
74,HAIRY,2,0,0,first_order,20.0,0.004914045333862305,116,1.0163484821920809e-7,0.0,205,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
75,HATFLDD,3,0,0,first_order,2.551650330156678e-7,0.0019731521606445312,62,2.1954376826731937e-6,0.0,107,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
76,HATFLDE,3,0,0,first_order,2.7406674391590288e-6,0.0027229785919189453,47,5.595635272794832e-5,0.0,84,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
77,HATFLDFL,3,0,0,first_order,6.371007619537615e-5,0.009289026260375977,218,1.2580249729905146e-6,0.0,379,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
78,HATFLDFLS,3,0,0,first_order,1.43337238902831e-13,0.011796951293945312,200,1.1303454910922868e-7,0.0,343,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
