id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo
1,AKIVA,2,0,0,max_time,NaN,30.00006103515625,238340,NaN,0.0,6196816,476680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,ALLINITU,4,0,0,first_order,5.7443849103203375,0.00030112266540527344,12,8.861911186331151e-9,0.0,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,ARGLINA,200,0,0,first_order,199.99999999999787,0.003077983856201172,2,1.5319112580834624e-13,0.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,ARGLINB,200,0,0,first_order,99.62546834719139,0.004536151885986328,2,6451.004295577448,0.0,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,ARGLINC,200,0,0,first_order,101.12547073775671,0.004294872283935547,2,7035.728077197199,0.0,28,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,ARGTRIGLS,200,0,0,first_order,4.238513848321308e-12,0.5428838729858398,789,3.369040342883495e-5,0.0,815,804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,BA-L1LS,57,0,0,first_order,4.404730814888196e-12,0.002733945846557617,21,0.007891426820980135,0.0,40,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,BA-L1SPLS,57,0,0,first_order,3.5362932395949318e-12,0.005065202713012695,26,0.006917968838778076,0.0,45,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,BARD,3,0,0,first_order,0.008214877306583308,0.0003669261932373047,25,2.2489045245804296e-7,0.0,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,BEALE,2,0,0,first_order,3.8635844019686286e-14,0.0003559589385986328,13,2.795276235994649e-7,0.0,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,BENNETT5LS,3,0,0,first_order,0.0005389456249461876,0.006323814392089844,31,0.00335672746764629,0.0,51,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,BIGGS6,6,0,0,first_order,0.005655649809533361,0.0013539791107177734,57,7.001042356896694e-9,0.0,79,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13,BOX3,3,0,0,first_order,6.43540577368104e-16,0.00045299530029296875,27,2.6268652667255247e-8,0.0,31,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
14,BOXBODLS,2,0,0,first_order,9771.499999995156,0.0001571178436279297,3,4.8508058823321766e-9,0.0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
15,BRKMCC,2,0,0,first_order,0.16904267919645036,0.0002219676971435547,8,8.381477154670776e-9,0.0,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
16,BROWNAL,200,0,0,first_order,1.4737938498108177e-9,0.0038728713989257812,10,1.0858511549657689e-5,0.0,27,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17,BROWNBS,2,0,0,first_order,1.1464906165404427e-16,0.00030803680419921875,13,0.020734490568962424,0.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18,BROWNDEN,4,0,0,first_order,85822.20135244139,0.0007750988006591797,27,0.011760290949483278,0.0,49,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19,CERI651ALS,7,0,0,first_order,350.28152977619607,0.028776884078979492,365,0.07977792999113542,0.0,571,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20,CERI651BLS,7,0,0,first_order,95.8966299592522,0.13183116912841797,1746,0.0006929185391040315,0.0,2648,2369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21,CERI651CLS,7,0,0,first_order,56.57982168735667,0.5174729824066162,7307,0.0094087761495141,0.0,10754,9604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
22,CERI651DLS,7,0,0,max_time,NaN,30.000313997268677,72847,NaN,0.0,1887539,145484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23,CERI651ELS,7,0,0,first_order,23.68739393139794,0.21587300300598145,2847,0.00932699172395941,0.0,4223,3742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
24,CHNROSNB,50,0,0,first_order,3.993240786423319e-10,0.004766941070556641,255,5.2159595258068836e-5,0.0,277,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
25,CHNRSNBM,50,0,0,first_order,2.83790491515748e-10,0.008038997650146484,385,5.6685680849151726e-5,0.0,409,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
26,CHWIRUT1LS,3,0,0,first_order,2384.4771393093506,0.0031599998474121094,30,0.0617159259511549,0.0,57,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
27,CHWIRUT2LS,3,0,0,first_order,513.0480294068658,0.0010631084442138672,30,0.004365631077758567,0.0,55,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
