id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo
1,AKIVA,2,0,0,first_order,6.166042212470039,0.0021829605102539062,28,0.00031942706559121194,0.0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,ALLINITU,4,0,0,first_order,5.744384910321734,0.0027959346771240234,26,5.529825722332689e-6,0.0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,BARD,3,0,0,first_order,0.008215099831687707,0.0033299922943115234,32,5.8416470156168105e-5,0.0,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
4,BEALE,2,0,0,first_order,9.35080034343051e-14,0.0009241104125976562,34,8.049128926673307e-7,0.0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5,BENNETT5LS,3,0,0,first_order,0.6847247303406195,0.004640102386474609,14,0.46959535980158607,0.0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6,BOX3,3,0,0,first_order,3.753737739792113e-11,0.002731800079345703,35,2.281732508271697e-6,0.0,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,BOXBODLS,2,0,0,small_step,9759.653532528364,0.001219034194946289,12,365.84463185876086,0.0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,BRKMCC,2,0,0,first_order,0.16904267919647575,0.0004131793975830078,10,1.5060123935122989e-6,0.0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9,BROWNBS,2,0,0,max_eval,1.371259891882109e8,0.013052940368652344,560,110918.30804313954,0.0,1002,1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,BROWNDEN,4,0,0,first_order,85822.20146660884,0.008461952209472656,50,1.1265065135326982,0.0,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
11,CHWIRUT1LS,3,0,0,small_step,2488.1521486999177,0.04189801216125488,152,13273.41704157186,0.0,269,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
12,CHWIRUT2LS,3,0,0,max_eval,514.816601817522,0.03354692459106445,554,750.3399119721342,0.0,1001,1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
